,artist
833,Pagode da Tia Doca
834,Discipulos
835,Dj Farrapo
836,Chell
837,Nicola Són
838,Terra Preta
839,May & Karen
840,Lisabi
841,Comédia Mtv
842,Trio Sabiá
843,Curimbeiros
844,Vigaz
845,Abbot MC
846,Targino Gondim
847,Sintel
848,João Cavalcanti
849,Paraíso do Tuiutí
850,Mc RN Original
851,Fleeting Circus
852,So Preto Sem Preconceito
853,Jairzinho Oliveira
854,Bona Fortuna
855,Virgo Matos Paeth
856,MC VITIN DZ7
857,Second Come
858,Manso
859,Banda Cambaia
860,Minotauro
861,Clarice Falcăo
862,MC Dukenny
863,goldenloki
864,Bianca Rossini
865,Furacao Love
866,Leno
867,Olivia Lorena
868,Camila Costa
869,Legendary
870,Nominalistas
871,Nego Bam
872,Nato Medrado
873,Dadinho
874,Carlos Gonzaga
875,Vitor Ramil & Marcos Suzano
876,Lulz Silva
877,Uns & Outros
878,Vitor Marx
879,Nuno Leão
880,Marcelo Bonfá
881,Marquinho Sathan
882,Gurus
883,Cardosu
884,Wantuir
885,Burnier & Cartier
886,Memórias de um Caramujo
887,Grupo Portal Gaúcho
888,Forro Red Light
889,Eldhrimnir
890,Lúcio Maia
891,Renato Ruiz
892,São Vicente feat. Ituana
893,deserdados
894,Guilherme De Brito
895,Simone Moreno
896,ENKORE
897,Filipe Escandurras
898,DJ Ze Pedro
899,dj wl do mvp
900,MC Jerry
901,Rock de Galpão
902,Orquestra Petrobras Sinfônica
903,Stereophant
904,Civilhans
905,Pierre Aderne
906,Anna Setton
907,Mauro Cotta
908,Caim
909,Wantuir Cardeal
910,kevinho
911,Os Trapalhões
912,Several
913,Charlie e os Marretas
914,tzxn
915,Isaura Garcia
916,Aqno
917,Wem
918,Bossacucanova feat. Adriana Calcanhotto
919,Tukley
920,A Fase Rosa
921,Chico Teixeira
922,TONY CANABRAVA
923,Edu Sereno
924,Grupo Muzenza de Capoeira
925,Os Mateadores
926,Terry Winter
927,Pedro Henrique & Fernando
928,Tânia Alves
929,Kim Marques
930,Leo Lauretti
931,Forró de Qualidade
932,5PRAStANtAS
933,Cohen e Marcela
934,Mr. Thug
935,Etno
936,Banda A Invasão
937,Rita Rameh e Luiz Waack
938,sueste
939,BiD Feat. Seu Jorge
940,Venore
941,Afoxé Oyá Alaxé
942,Carlinhos Brown & DJ Dero
943,Fantasmão
944,Natty Hills
945,Jaime E Nair
946,Mc Petter
947,Fausto Nilo
948,Nervoso e os Calmantes
949,Pedro Cassel
950,La Bamba
951,kuarto de empregada
952,Silvinha
953,Sapabonde
954,Gang 90
955,Numismata
956,Bored Machines
957,Bailão Do Robyssão
958,Lil Fire 666
959,Favela Chic
960,offlovelyy
961,MC L Da Vinte & MC Gury
962,Banda Jumento Desembestado
963,Téo Azevedo
964,Thiago Pethit e Mallu
965,Sine Calmon & Morrão Fumegante
